words,PERSON,NORP,FACILITY,ORGANIZATION,GPE,LOCATION,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,DATE,TIME,PERCENT,MONEY,MEASUREMENT,ORDINAL,CARDINAL,MISC,PUNC,O
نه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
خامنه ای,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
و,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
هیچ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
آخوند,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
دیگه ای,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
وجدان,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ندارن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
،,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
اونا,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
فقط,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
فکر,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
پر کردن جیب,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
خودشون,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
هسن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
الان,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
میاد میگه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مشکل,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ریز گرد,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
رو,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
هم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ما,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
حل کردیم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
پالایشگاه,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
کرمانشاه,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
را,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
که,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
سال ۹۰,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
به,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
قیمت,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
۱۸۰۰ میلیارد تومان,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
واگذار شده بود,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
پس گرفت,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
…,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
دوره خاتمی,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
از,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مهر 82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
تا,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مرداد 84,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
حسن روحانی,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
دبیر شورای عالی امنیت ملی,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
عهده‌دار,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
پرون,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ببینید,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
همین,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
نگاه کنید,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
میزان,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
مطالعه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ایرانیا,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
خیلی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
بعد,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
آدمهای,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
مسل,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
احمدی نژاد,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
خاتمی,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
اگ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
میدونی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
کی,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
رای دادم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
؟,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
مطمئنی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
با,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
